"ABSlider","<AB> Slider","a"
"JCPenney","JC Penney","a"
"JPMorgan","JP Morgan","a"
"M*A*S*H","MASH","a"
"bullsh*t","bullshit[CI]","a"
"readspeaker","R II1 D # S P II2 K AX0","w","wqVywq1kIMKmc3DCrWsn"
"voicedictionary","voice dictionary [CI]","a"
